epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2792.3,0.88149,4.65523,1.2226,0.47383,0.47842,0.41321,0.34195,0.77608,2.2764,1.04748,0.000174529,0.000174529,0.000174529
2,5554.49,0.73449,1.6847,1.07043,0.57563,0.52445,0.51742,0.43019,0.76269,1.68832,1.04336,0.000315226,0.000315226,0.000315226
3,8336.28,0.72559,1.26152,1.06115,0.7296,0.59647,0.65887,0.51634,0.84568,1.28106,1.1276,0.000421207,0.000421207,0.000421207
4,11102.1,0.70558,0.98457,1.04209,0.80353,0.59925,0.70883,0.58805,0.71269,0.9672,1.01257,0.000369778,0.000369778,0.000369778
5,13837.6,0.6647,0.81996,1.01469,0.88051,0.69084,0.8009,0.66509,0.70373,0.76346,0.99066,0.000317704,0.000317704,0.000317704
6,16564.9,0.64687,0.72175,1.00941,0.87419,0.71241,0.81562,0.67915,0.68013,0.69869,0.991,0.00026563,0.00026563,0.00026563
7,19307.7,0.61306,0.60255,0.98278,0.89777,0.73934,0.84408,0.70949,0.64721,0.6299,0.95491,0.000213556,0.000213556,0.000213556
8,22031.1,0.59328,0.54295,0.96865,0.94361,0.75366,0.86877,0.72669,0.64011,0.56512,0.94964,0.000161482,0.000161482,0.000161482
9,24749.8,0.57148,0.47934,0.95117,0.92592,0.78159,0.87856,0.73842,0.6298,0.52838,0.94137,0.000109408,0.000109408,0.000109408
10,27497.6,0.54816,0.4324,0.94355,0.9458,0.79734,0.88487,0.75524,0.60406,0.47895,0.93022,5.7334e-05,5.7334e-05,5.7334e-05
